"ccnl lavoratori cooperative esercenti attività settore taxi,radio taxi e settori strumentali e collaterali al trasporto pubblico locale non di linea 2015-2019 - 2015",ccnl-lavoratori-cooperative-esercenti-attivit-settore-taxi-radio-taxi-e-settori-strumentali-e-collaterali-al-trasporto-pubblico-locale-non-di-linea-2015-2019,Italy,it,2015
accordo collettivo nazionale collaboratori università non statali 2015-2016 - 2015,accordo-collettivo-nazionale-collaboratori-universit-non-statali-2015-2016,Italy,it,2015
ccnl rapporti di agenzia e rappresentanza commerciale comparto artigiano 2015-2017 - 2015,ccnl-rapporti-di-agenzia-e-rappresentanza-commerciale-comparto-artigiano-2015-2017,Italy,it,2015
ccnl agenzie di somministrazione di lavoro 2019-2021 - 2019,ccnl-agenzie-di-somministrazione-di-lavoro-2019-2021,Italy,it,2019
ccnl personale comparto sanità sezione ricerca sanitaria e attività supporto alla ricerca 2016-2018 - 2019,ccnl-personale-comparto-sanit-sezione-ricerca-sanitaria-e-attivit-supporto-alla-ricerca-2016-2018,Italy,it,2019
ccnl lavoratori dipendenti imprese attività agromeccaniche 2018-2020 - 2018,ccnl-lavoratori-dipendenti-imprese-attivit-agromeccaniche-2018-2020,Italy,it,2018
ccnl quadri e impiegati aziende gruppo INVITALIA 2017-2019 - 2017,ccnl-quadri-e-impiegati-aziende-gruppo-invitalia-2017-2019,Italy,it,2017
ccnl servizi ambientali 2016-2019 - 2016,ccnl-servizi-ambientali-2016-2019,Italy,it,2016
"accordo collettivo nazionale collaboratori enti di ricerca privati, istituto di ricovero a carattere scientifico 2016 - 2016",accordo-collettivo-nazionale-collaboratori-enti-di-ricerca-privati-istituto-di-ricovero-a-carattere-scientifico-2016,Italy,it,2016
"ccnl artisti, tecnici, amministrativi e ausiliari dipendenti da società cooperative e imprese sociali produzione culturale e spettacolo 2015-2018 - 2015",ccnl-artisti-tecnici-amministrativi-e-ausiliari-dipendenti-da-societ-cooperative-e-imprese-sociali-produzione-culturale-e-spettacolo-2015-2018,Italy,it,2015
ccnl dipendenti aziende videofonografiche 2014-2016 - 2014,ccnl-dipendenti-aziende-videofonografiche-2014-2016,Italy,it,2014
ccnl dipendenti da proprietari di fabbricati 2013-2014 - 2013,ccnl-dipendenti-da-proprietari-di-fabbricati-2013-2014,Italy,it,2013
cnnl personale dipendente agenzie marittime e raccomandatarie e mediatori marittimi 2018-2020,cnnl-personale-dipendente-agenzie-marittime-e-mediatori-marittimi-2018-2020,Italy,it,2018
ccnl personale del comparto sanità 2016-2018,ccnl-personale-del-comparto-sanit-2016-2018,Italy,it,2016
"ccnl testate periodiche di informazione locale, no profit e online, 2018-2020 - 2018",ccnl-testate-periodiche-di-informazione-locale-no-profit-e-online-2018-2020,Italy,it,2018
"ccnl quadri e impiegati agricoli, 2016-2019 - 2016",ccnl-quadri-e-impiegati-agricoli-2016-2019,Italy,it,2016
